2019-01-13 21:58:13.971712: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-01-13 21:58:14.401794: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla P100-PCIE-12GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:04:00.0
totalMemory: 11.91GiB freeMemory: 11.63GiB
2019-01-13 21:58:14.401848: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla P100-PCIE-12GB, pci bus id: 0000:04:00.0, compute capability: 6.0)
Loading visual data, group a...Training on 80 classes, good luck!
done. data: (8000, 2048) - labels: (8000,)
Training on 8000 examples.
Normalizing with MinMaxScaler...
[--------------------------------------------------] 0.00% - 0/2000
[--------------------------------------------------] 0.00% - 0/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 0.00% - 0/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - Saving in /usr/home/studenti/sp160362/project/deep-word-learning/data/trained-models/video/video_60x80_s30.0_b128_a0.1_trsf_minmax_seed42_1547413093_0ep/model[--------------------------------------------------] 0.25% - 5/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 0.50% - 10/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 0.75% - 15/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 1.00% - 20/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 1.25% - 25/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 1.50% - 30/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [--------------------------------------------------] 1.75% - 35/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 2.00% - 40/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 2.25% - 45/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 2.50% - 50/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 2.75% - 55/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 3.00% - 60/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 3.25% - 65/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 3.50% - 70/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [=-------------------------------------------------] 3.75% - 75/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [==------------------------------------------------] 4.00% - 80/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [==------------------------------------------------] 4.25% - 85/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [==------------------------------------------------] 4.50% - 90/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [==------------------------------------------------] 4.75% - 95/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [==------------------------------------------------] 5.00% - 100/2000
TRAIN - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 - TEST - comp.: 0.0000, conf.: 1.0000, bmu rate:0.0002 [==------------------------------------------------] 5.00% - 100/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [==------------------------------------------------] 5.00% - 100/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 - Saving in /usr/home/studenti/sp160362/project/deep-word-learning/data/trained-models/video/video_60x80_s30.0_b128_a0.1_trsf_minmax_seed42_1547413093_100ep/model[==------------------------------------------------] 5.25% - 105/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [==------------------------------------------------] 5.50% - 110/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [==------------------------------------------------] 5.75% - 115/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 6.00% - 120/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 6.25% - 125/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 6.50% - 130/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 6.75% - 135/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 7.00% - 140/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 7.25% - 145/2000
TRAIN - comp.: 0.4492, conf.: 0.0359, bmu rate:0.1462 - TEST - comp.: 0.4532, conf.: 0.0367, bmu rate:0.1444 [===-----------------------------------------------] 7.50% - 150/2000
